id,rating,votes
tt0493076,5.4,3001
tt0493405,6.0,50134
tt0495024,5.5,128
tt0496375,3.7,1575
tt0498351,3.9,716
tt0498381,4.5,42599
tt0499097,5.8,62768
tt0499400,7.0,10518
tt0526026,1.7,152
tt0564465,7.9,18
tt0588659,9.5,10
tt0609407,8.1,25
tt0658096,6.2,9
tt0658097,7.5,11
tt0658106,6.6,45
tt0658114,6.0,43
tt0658117,4.8,8
tt0658124,7.8,49
tt0658125,7.3,10
tt0658126,6.9,48
tt0658136,6.4,8
tt0683737,6.1,25
tt0703023,8.3,831
tt0762118,4.0,27
tt0762138,5.6,12402
tt0763831,5.8,44214
tt0765446,5.8,26566
tt0765459,4.9,192
tt0768222,3.7,2947
tt0770703,6.0,85692
tt0770728,6.6,42
tt0770802,8.4,37463
tt0770819,8.0,13
tt0770828,7.1,799905
tt0772175,5.8,136
tt0772179,4.4,127
tt0775440,4.4,29868
tt0780504,7.8,686885
tt0780541,5.7,142
tt0780548,6.4,10398
tt0780625,3.7,162
tt0780645,4.1,2775
tt0781441,4.7,57
tt0781524,5.8,38
tt0783640,6.8,13636
tt0787442,7.1,4469
tt0787474,6.8,60694
tt0787524,7.2,60780
tt0790628,5.9,75390
tt0790636,7.9,509913
tt0790653,6.0,608
tt0790724,7.0,357556
tt0790736,5.6,141529
tt0790770,6.4,10432
tt0790788,5.6,1952
tt0795459,6.6,1004
tt0795461,3.5,75852
tt0800296,7.6,46
tt0800325,7.0,53819
tt0800369,7.0,885220
tt0802972,6.6,40
tt0803061,7.3,19012
tt0803096,6.7,274472
tt0804463,6.1,23382
tt0804484,7.5,86489
tt0804509,5.6,828
tt0805647,5.4,44931
tt0808447,9.2,53
tt0808491,5.8,5805
tt0810001,6.3,254
tt0810772,5.0,1432
tt0810819,7.1,196244
tt0810836,5.3,994
tt0810856,6.2,347
tt0810913,3.3,88902
tt0810922,6.3,54788
tt0811069,7.6,75
tt0811137,5.9,1812
tt0811613,6.5,106
tt0816442,7.5,140734
tt0816462,5.1,101862
tt0816648,6.5,42
tt0816692,8.7,2010720
tt0816711,7.0,703280
tt0817377,7.6,14
tt0817545,5.1,4208
tt0821486,6.4,36
tt0822847,5.7,123048
tt0825282,6.4,142
tt0825283,3.6,4663
tt0825334,8.5,71
tt0828135,8.5,46
tt0829150,6.2,204580
tt0829176,3.6,8125
tt0829278,2.7,135
tt0831387,6.4,429666
tt0834112,8.0,17
tt0835418,5.0,8837
tt0835775,4.6,999
tt0835802,5.5,1652
tt0837156,6.1,8926
tt0837559,3.4,284
tt0837562,7.0,274085
tt0837563,5.7,96971
tt0838194,7.9,21
tt0839742,7.1,2158
tt0839791,7.1,27
tt0841010,7.2,130
tt0841185,5.3,77
tt0843839,7.6,40
tt0844915,8.0,66
tt0844993,4.7,13753
tt0847180,3.5,350
tt0847505,8.3,18
tt0847825,4.8,1878
tt0848228,8.0,1438871
tt0848537,6.6,108757
tt0848554,3.7,946
tt0850247,6.9,19
tt0850677,4.5,3145
tt0850678,6.9,21
tt0851471,2.9,776
tt0852986,5.2,98
tt0853155,6.6,251
tt0855705,7.0,26
tt0857190,6.1,20246
tt0857466,6.6,120
tt0858419,5.6,600
tt0858422,5.5,106
tt0859635,6.0,27933
tt0860907,6.9,17692
tt0862748,5.5,1783
tt0862930,6.6,504
tt0864835,6.8,76082
tt0865557,6.4,95
tt0865560,5.1,2114
tt0865561,4.8,733
tt0865911,6.3,13
tt0870154,6.6,206561
tt0871891,5.7,8
tt0873886,6.1,66370
tt0874268,7.5,51
tt0875612,7.1,8
tt0875613,2.6,466
tt0878814,4.5,1727
tt0880569,4.3,357
tt0881320,5.9,56858
tt0882977,6.4,91823
tt0883391,6.7,919
tt0884325,7.6,54
tt0884726,5.0,6203
tt0884732,6.6,79160
tt0887143,2.8,1076
tt0887261,5.9,46594
tt0887266,8.9,17
tt0892062,6.1,117
tt0892077,6.9,103
tt0893310,7.5,40
tt0893412,5.5,15502
tt0897267,7.1,23
tt0899145,4.9,410
tt0899154,5.0,387
tt0900387,7.0,28041
tt0902292,7.2,127
tt0902456,3.8,29
tt0903624,7.8,856908
tt0903657,7.4,41789
tt0905372,6.2,143107
tt0906013,2.9,332
tt0906327,7.1,20
tt0906778,6.1,2241
tt0907625,4.3,615
tt0907852,6.0,69
tt0910885,5.1,7741
tt0914376,7.3,6392
tt0918520,7.5,17
tt0918553,6.9,38
tt0918940,6.2,184281
tt0920462,4.7,5096
tt0923722,3.2,398
